AppId,No_of_eng_reviews
air.com.desjardins.ecorush,0
air.com.desjardins.streetspin,0
air.com.noodlecake.trialsOfGlork,12
andrew.arproductions.healthlog,204
arproductions.andrew.headachelog,238
br.com.tapps.cookbookmaster,9858
br.com.tapps.donotdisturb2,4937
br.com.tapps.epicbandclicker,555
br.com.tapps.epicpartyclicker,6106
br.com.tapps.forestfolks.homedesign,2608
br.com.tapps.forestfolks.petspa,2359
br.com.tapps.kittycatclicker2,3787
br.com.tapps.minequest,1824
br.com.tapps.minequest2,6329
br.com.tapps.myboo,66918
br.com.tapps.myderp,3832
br.com.tapps.myicecreammaker,3374
br.com.tapps.myicecreamtruck,5335
br.com.tapps.myvirtualpetshop,23891
ca.cbc,625
com.adobe.lrmobile,51614
com.adobe.photoshopmix,11030
com.adobe.psmobile,96510
com.adobe.reader,81776
com.adobe.reader.intune,593
com.aim.racinggt,10604
com.aim.racingmgt,3010
com.aim.racingturbo,1998
com.aim.racingtype,1067
com.antivirus,4941
com.apalon.ringtones,1710
com.apalon.wallpapers,1050
com.appcom.imotohr,0
com.appcom.imotohrhd,0
com.appmind.radios.jp,542
com.appmind.radios.my,1054
com.appmind.radios.ng,330
com.appmind.radios.nl,117
com.appmind.radios.sg,1730
com.appmind.radios.tw,65
com.appmind.radios.za,2639
com.appsomniacs.da2,500805
com.appxy.famcal,1549
com.appxy.tinycalendar,755
com.baklabs.ambulance.simulator,2036
com.baklabs.atv.desert,756
com.baklabs.atv.stunt,21
com.baklabs.bus.simulator,5087
com.baklabs.construction.truck,391
com.baklabs.delivery.game,780
com.baklabs.farm,92
com.baklabs.fire.simulator,686
com.baklabs.JungleRescue,247
com.baklabs.lumberjack,56
com.baklabs.motocross.stunt,93
com.baklabs.mountain.racer,33
com.baklabs.offroad4x4,197
com.baklabs.taxi.simulator.plus,114
com.baklabs.taxi.simulator.speed,486
com.baklabs.taxi4x4,17
com.baklabs.tractor,28
com.baklabs.tractor.farm,1140
com.baklabs.truck,7
com.baklabs.winter4x4uaz,35
com.bigfishgames.doriangraygoogfree,711
com.bigfishgames.doriangraygoogfull,1307
com.bigfishgames.enigmatisgooglefree,1287
com.bigfishgames.enigmatisgooglefull,1828
com.bigfishgames.google.lifequest2full,275
com.bigfishgames.google.mcfr2rgoogfull,924
com.bigfishgames.lifequestdroidfull,259
com.bigfishgames.llbwgoogfree,298
com.bigfishgames.llfbgoogfree,461
com.bigfishgames.llwotbgoogfree,189
com.bigfishgames.mcfescapegoogfree,714
com.bigfishgames.mcgooglef2p,4703
com.bigfishgames.mckrgoogfree,135
com.bigfishgames.ptsmgoogfree,372
com.bigfishgames.sdaegoogfree,95
com.bitmango.block,3465
com.bitmango.blockjam,937
com.bitmango.go.blockhexapuzzle,80478
com.bitmango.go.fruitsmania2match3,1829
com.bitmango.go.fruitsmaniamatch3,18827
com.bitmango.go.jewelmatchking,14747
com.bitmango.go.jewelmatchkingquest,1002
com.bitmango.go.lollipop2match3,4838
com.bitmango.go.lollipopmatch3,19415
com.bitmango.go.make7hexapuzzle,12414
com.bitmango.go.makehexa,9479
com.bitmango.go.unblockcasual,5846
com.bitmango.popstarice,5481
com.byv.TheArchers2,5690
com.cg.football,5727
com.chrome.beta,21510
com.chrome.dev,8229
com.cocoplay.cocokitty,2222
com.cocoplay.cocopuppy,2924
com.cocoplay.cocostar,5299
com.coffeebeanventures.easyvoicerecorder,6325
com.corrodinggames,77
com.corrodinggames.boxfox.full,20
com.crescentmoongames.aralon,1768
com.crescentmoongames.aralon2,353
com.crescentmoongames.evertales,40
com.crescentmoongames.evertalesfree,91
com.crescentmoongames.gearjackblackhole,314
com.crescentmoongames.ravensword2,5023
com.digipom.easyvoicerecorder.pro,4177
com.disney.disneycrossyroad_goo,55142
com.disney.wdpro.dlr,12565
com.djinnworks.linebirds,353
com.djinnworks.LineRunner2.free,2311
com.djinnworks.linerunner3,257
com.djinnworks.linerunnerfree,5104
com.djinnworks.SDMT,1601
com.djinnworks.sl,721
com.djinnworks.StickCliffDiving.lite,5052
com.djinnworks.StickmanDownhillMotocross,5836
com.djinnworks.StickmanTennis.free,5174
com.ea.BejeweledBlitz_na,27419
com.ea.game.easportsufc_row,135282
com.ea.games.r3_na,79460
com.ea.gp.bej3,38624
com.ea.gp.fifaultimate,14252
com.easytech.fortress,1016
com.easytech.fortresshd,1292
com.easytech.ggp,363
com.easytech.ggphd,857
com.easytech.gog,819
com.easytech.gog2.android,791
com.easytech.gogh,1959
com.ehawk.antivirus.applock.wifi,54798
com.facebook.adsmanager,3283
com.facebook.pages.app,86410
com.fermat.kartracing,963
com.forestmoongames.gearjack,120
com.free.android.media.player.black.purple,129
com.free.android.media.player.black.red,281
com.free.android.media.player.light.green,89
com.free.android.media.player.light.pink,76
com.free.android.music.player.pink,105
com.free.android.music.player.ultra.black.green,122
com.fungames.blockcraft,89655
com.fungames.flightpilot,2635
com.fungames.landsimww,4643
com.fyrehouse.boonk,2925
com.game.drisk,1087
com.game.drisk.free,1039
com.gamecircus.CoinDozerHaunted,4686
com.gamecircus.CoinDozerJackpot,5888
com.gamecircus.CoinDozerPirates,4783
com.gamecircus.moviez,4537
com.gamecircus.songz,4675
com.gamehivecorp.beattheboss3,5011
com.gamehivecorp.beattheboss4,7605
com.gameinsight.airport,19878
com.gameinsight.transportempiregp,8015
com.gameloft.android.ANMP.GloftA8HM,51516
com.gameloft.android.ANMP.GloftAGHM,88643
com.gameloft.android.ANMP.GloftBTHM,7725
com.gameloft.android.ANMP.GloftHOHM,16166
com.gameloft.android.ANMP.GloftM3HM,5445
com.gameloft.android.ANMP.GloftM4HM,10542
com.gameloft.android.ANMP.GloftM5HM,1896
com.gameloft.android.ANMP.GloftMACS,91
com.gameloft.android.ANMP.GloftTVHM,131
com.gameloft.android.ANMP.GloftTVSS,45
com.gamma.bubblelevel,1942
com.gamma.bubblelevel2,689
com.gau.go.launcherex.gowidget.calendarwidget,3200
com.gau.go.launcherex.gowidget.clockwidget,2544
com.gau.go.launcherex.gowidget.newcalendarwidget,762
com.gau.go.launcherex.gowidget.notewidget,1563
com.gau.go.launcherex.gowidget.switchwidget,5019
com.gau.go.launcherex.language.ar,361
com.gau.go.launcherex.language.bg,29
com.gau.go.launcherex.language.ca,12
com.gau.go.launcherex.language.cs,8
com.gau.go.launcherex.language.da,6
com.gau.go.launcherex.language.de,34
com.gau.go.launcherex.language.el,97
com.gau.go.launcherex.language.et,5
com.gau.go.launcherex.language.fi,7
com.gau.go.launcherex.language.fr,87
com.gau.go.launcherex.language.hr,11
com.gau.go.launcherex.language.hu,9
com.gau.go.launcherex.language.id,328
com.gau.go.launcherex.language.in,224
com.gau.go.launcherex.language.ir,59
com.gau.go.launcherex.language.it,25
com.gau.go.launcherex.language.iw,29
com.gau.go.launcherex.language.ja,20
com.gau.go.launcherex.language.ka,48
com.gau.go.launcherex.language.ms,160
com.gau.go.launcherex.language.nl,23
com.gau.go.launcherex.language.pl,13
com.gau.go.launcherex.language.pt,92
com.gau.go.launcherex.language.sv,9
com.gau.go.launcherex.language.tr,183
com.gau.go.launcherex.language.uk,30
com.gau.golauncherex.mediamanagement,2343
com.glu.android.deerchal,2105
com.glu.bgc,5741
com.glu.deerhunt16,21188
com.glu.deerhunt2,23159
com.glu.deerhuntnew,7846
com.glu.gladiator,12757
com.glu.gladiator2,12181
com.glu.gladiator_nr,12026
com.google.android.apps.adwords,5056
com.google.android.apps.books,17975
com.google.android.apps.cloudconsole,1029
com.google.android.apps.cloudprint,6284
com.google.android.apps.docs.editors.docs,100447
com.google.android.apps.docs.editors.sheets,43880
com.google.android.apps.emergencyassist,1485
com.google.android.apps.handwriting.ime,4800
com.google.android.apps.maps,33279
com.google.android.apps.mapslite,4263
com.google.android.apps.photos,1493642
com.google.android.apps.playconsole,2069
com.google.android.apps.tachyon,984987
com.google.android.contacts,29895
com.google.android.inputmethod.pinyin,5256
com.google.android.marvin.intersectionexplorer,259
com.google.android.marvin.talkback,15964
com.google.android.music,321459
com.google.android.play.games,2257
com.google.android.videos,61519
com.google.chromeremotedesktop,7112
com.googlecode.eyesfree.brailleback,135
com.greatbytes.fastreboot,4887
com.greatbytes.fastrebootdashclock,6
com.greatbytes.fastrebootpro,423
com.greatbytes.fastrebootprolocale,28
com.gtp.nextlauncher.langpack.pl,293
com.gwl.racing,2047
com.HappyDragon.TheArchers,1441
com.harpan.freecellGooglePlay,4263
com.harpan.spiderSolitaireGooglePlay,387
com.hawk.security,25502
com.headupgames.experiment,0
com.headupgames.experimentfree,2
com.hg.aporkalypse,210
com.hg.aporkalypsefree,2991
com.hg.cyberlords,368
com.hg.cyberlordsfree,1341
com.hg.shark,31
com.hg.sharkfree,833
com.hg.tattootycoon,130
com.hg.tattootycoonfree,3426
com.hg.townsmen6,200
com.hg.townsmen6free,3900
com.hg.townsmen7,3145
com.hg.townsmen7free,8412
com.hg.viking,36
com.hg.vikingfree,826
com.hp.com.hpeprintservice.good,32
com.hp.eprint.ppl.client,772
com.hp.latextogo,42
com.igg.android.casinodeluxebyigg,4907
com.igg.android.castleclasharb,4382
com.igg.android.castleclashvn,1615
com.igg.android.clashoflords2tr,441
com.igg.android.deckheroesde,610
com.igg.android.deckheroeses,223
com.igg.android.deckheroesfr,337
com.igg.android.lordsonline_tw,1206
com.igg.bzbee.deckheroes,12363
com.igg.bzbee.slotsdeluxe,6559
com.igg.bzbee.slotsdeluxe_de,380
com.igg.castleclash,239729
com.igg.castleclash_de,4792
com.igg.castleclash_es,3400
com.igg.castleclash_id,4760
com.igg.castleclash_it,2681
com.igg.castleclash_jp,789
com.igg.castleclash_kr,812
com.igg.castleclash_pt,891
com.igg.castleclash_ru,2457
com.igg.castleclash_th,1074
com.igg.castleclash_tr,1427
com.igg.castleclash_tw,2065
com.jdpapps.frameart,13
com.jdpapps.paintanimals,59
com.jdpapps.textt1,4942
com.jrtstudio.AnotherMusicPlayer,8441
com.jrtstudio.music,5638
com.jrtstudio.music.musicplayer.skin.player.material.green,46
com.jrtstudio.music.musicplayer.skin.player.material.orange,31
com.jrtstudio.music.musicplayer.skin.player.material.pink,31
com.jrtstudio.music.musicplayer.theme.player.charcoal.green,17
com.jrtstudio.music.musicplayer.theme.player.charcoal.orange,32
com.jrtstudio.music.musicplayer.theme.player.charcoal.pink,52
com.jrtstudio.music.musicplayer.theme.player.charcoal.purple,30
com.jrtstudio.music.musicplayer.theme.player.charcoal.red,44
com.jrtstudio.music.musicplayer.theme.player.dark.orange,15
com.jrtstudio.music.musicplayer.theme.player.plastic,72
com.jrtstudio.music.player.theme.gold,184
com.junerking.racingcar,924
com.kathleenOswald.pyramidGooglePlay,1757
com.kathleenOswald.solitaireGooglePlay,53113
com.ketchapp.circle,1701
com.ketchapp.circlethedot,4822
com.ketchapp.crazycircle,142
com.ketchapp.gravityswitch,2456
com.ketchapp.hop,5376
com.ketchapp.jumpcar,1981
com.ketchapp.jumpingfish,1423
com.ketchapp.ketchappbasketball,4466
com.ketchapp.ketchappfootball,883
com.ketchapp.ketchapptennis,432
com.ketchapp.loop,395
com.ketchapp.skyward,5773
com.ketchapp.spingame,270
com.ketchapp.spiral,4090
com.ketchapp.spiraltower,146
com.ketchapp.summersports,1777
com.ketchapp.swing,5501
com.ketchapp.tower,5655
com.ketchapp.twocars,4798
com.ketchapp.wallswitch,16
com.ketchapp.wintersports,579
com.ketchapp.wire,5178
com.king.alphabettysaga,35531
com.king.candycrushjellysaga,111546
com.king.candycrushsaga,269985
com.king.candycrushsodasaga,437429
com.kx.darts,754
com.lampe.torcher.flashlight,12401
com.leftover.CoinDozer,12856
com.lego.instore.action,326
com.leodesol.games.impossiblelaser,632
com.mattel.eahdragons,2464
com.maxelus.alienskinslivewallpaperfull,782
com.maxelus.galaxypacklivewallpaper,4934
com.maxelus.icegalaxylivewallpaper,2347
com.maxelus.snowstarslivewallpaperfull,311
com.microsoft.appmanager,7758
com.microsoft.crm.fs.mobile,38
com.microsoft.delvemobile,137
com.microsoft.dynamics.fs.mobile,20
com.microsoft.dynamics.nav,47
com.microsoft.hyperlapsemobile,3700
com.microsoft.intune.mam.managedbrowser,296
com.microsoft.office.officelens,31395
com.microsoft.office.powerpoint,13182
com.microsoft.powerbim,1140
com.microsoft.rdc.android,6231
com.microsoft.rdc.android.beta,776
com.microsoft.windowsintune.companyportal,5059
com.midasplayer.apps.papapearsaga,15873
com.miniclip.basketballstars,95054
com.miniclip.hockeystars,4630
com.ms.office365admin,2828
com.mxtech.ffmpeg.v5te,9904
com.mxtech.ffmpeg.v6,5331
com.mxtech.ffmpeg.v7_vfpv3d16,631
com.mxtech.ffmpeg.x86,1178
com.mxtech.videoplayer.ad,155467
com.mxtech.videoplayer.pro,13832
com.mythpeople.joininghands,44
com.noodlecake.flappygolf2,1655
com.noodlecake.happyfall,3181
com.noodlecake.highriseheroes,473
com.noodlecake.hordeofheroes,373
com.noodlecake.lavalanche,495
com.noodlecake.rsb,5222
com.noodlecake.rtbk,192
com.noodlecake.tikimatch,115
com.noodlecake.tinywarriors,103
com.noodlecake.trainyard,954
com.noodlecake.trainyardexpress,1127
com.noodlecake.tryharder.free,191
com.noodlecake.velocispider,51
com.noodlecake.velocispiderzero,687
com.nordcurrent.Games101,9212
com.nordcurrent.Games101HD,5552
com.nordcurrent.Games101in1Anthology,5452
com.northghost.appsecurity,1746
com.northghost.appsecurity.theme.christmas,9
com.northghost.appsecurity.theme.flowers,5
com.northghost.appsecurity.theme.halloween,3
com.northpark.beautycamera,6024
com.omgpop.dstfree,40407
com.omgpop.dstpaid,4327
com.oneapp.max,5451
com.oneapp.max.cleaner.booster,107892
com.pastagames.ro1mobile,4969
com.perracolabs.cp,3420
com.perracolabs.cpd,5404
com.playfirst.playground.hoteldash,5329
com.popularapp.videodownloaderforinstagram,59823
com.runtastic.android.me.lite,1876
com.samsung.accessory,216
com.samsung.smarthome,1999
com.samsung.smarthome.dvm,5
com.samsung.smarthome.oven,18
com.samsung.smartviewad,16084
com.sec.android.easyMover,18520
com.sec.spp.push,7495
com.sega.sonic4epi,2533
com.singlecellsoftware.caustic,5286
com.singlecellsoftware.caustickey,618
com.sonicjump.sonicjump,2512
com.speedsoftware.allin1calc,54
com.speedsoftware.allin1calcfree,238
com.storm8studios.bakerytwo,11948
com.strikermanager.android.strikersoccer,1545
com.tangram3D.Cycling2011Free,187
com.teamlava.bakerystory,13158
com.teamlava.bakerystory54,973
com.teamlava.bakerystory55,517
com.teamlava.bakerystory57,749
com.teamlava.castlestory,9236
com.teamlava.dragon,11930
com.teamlava.farmthree,5666
com.teamlava.farmthree47,1498
com.teamlava.fashionstory,2954
com.teamlava.fashionstory42,1988
com.teamlava.fashionstory43,1635
com.teamlava.fashionstory44,1771
com.teamlava.fashionstory45,1710
com.teamlava.fashionstory46,1721
com.teamlava.fashionstory47,1482
com.teamlava.fashionstory48,1302
com.teamlava.fashionstory53,737
com.teamlava.fashionstory56,830
com.teamlava.fashionstory57,1048
com.teamlava.jewel,7212
com.teamlava.jewel49,802
com.teamlava.jewel55,301
com.teamlava.jewel56,241
com.teamlava.restaurantstory,15494
com.teamlava.restaurantstory44,1597
com.teamlava.restaurantstory56,587
com.teamlava.restaurantstorytwo,8402
com.the10tons.azkend,150
com.the10tons.azkend.free,638
com.the10tons.clownsintheface,143
com.the10tons.heroesofkalevala.lite,34
com.the10tons.joininghands2,9
com.the10tons.puzkend_lite,6
com.the10tons.tennisintheface,42
com.tmsoft.spillzone,197
com.tmsoft.springer,244
com.tocaboca.tocakitchen,12835
com.tocaboca.tocakitchen2,44674
com.torch.lampe.flashlight,7228
com.turner.atskisafari,5350
com.turner.cardwars,11788
com.turner.cardwars2,25144
com.ubisoft.dance.JustDance,37277
com.ubisoft.dance.justdance2015companion,5470
com.ubisoft.rayman.fiestarun,2118
com.uplayonline.soccerrunner,911
com.uplayonline.strikermanager2,149
com.uplayonline.strikersoccerbrasil,1877
com.uplayonline.strikersoccerolympic,5503
com.uplayonline.swipebasketball2,2953
com.uplayonline.uplaybasketball,546
com.wordsmobile.nfl,5898
com.zenjoy.pipcollage,2357
com.zenlabs.challenge.pullups,658
com.zenlabs.challenge.pushups,4686
com.zenlabs.challenge.situps,1308
com.zenlabs.challenge.squats,1148
com.zentertain.photocollage,940
com.zynga.hititrich,1928
devdnua.clipboard,525
devdnua.clipboard.pro,32
facebookvideodownloader.videodownloaderforfacebook,399
hotspotshield.android.vpn,99130
hssb.android.free.app,7570
kr.hello5.sc.tablet,2
microsoft.dynamics,47
mobi.ketchapp.amazingbrick,5578
music.musicplayer,2130
music.musicplayer.blue,77
net.kairosoft.android.bouken_en,2326
net.kairosoft.android.bouken_enL,705
net.kairosoft.android.cruise_enL,1075
net.kairosoft.android.depart_enL,1114
net.kairosoft.android.edotowns,180
net.kairosoft.android.edotownsL,322
net.kairosoft.android.frontier_enL,144
net.kairosoft.android.fukuya_en,259
net.kairosoft.android.gamedev3enL,2078
net.kairosoft.android.horse_en,297
net.kairosoft.android.horse_enL,275
net.kairosoft.android.ninja_en,555
net.kairosoft.android.noujou_en,296
net.kairosoft.android.noujou_enL,281
net.kairosoft.android.onsen_enL,1018
net.kairosoft.android.pyramid_en,188
net.kairosoft.android.pyramid_enL,205
net.kairosoft.android.restaurantsp,403
net.kairosoft.android.restaurant_en,625
net.kairosoft.android.school2_en,604
net.kairosoft.android.school2_enL,1547
net.kairosoft.android.soccer2_en,4153
net.peakgames.bidwhist,1040
net.peakgames.mobile.android.tavlaplus.android,1939
net.peakgames.mobile.canakokey.android,1122
net.peakgames.mobile.spades.android,1451
net.peakgames.OkeyPlus,4356
net.peakgames.Yuzbir,6498
nextapp.sp,525
nextapp.systempanel,1599
nextapp.systempanel.r1,1506
org.hostedgames.greattournament,3782
org.hostedgames.greattournament2,626
org.hostedgames.highlandsdeepwaters,125
org.hostedgames.highwaywars,54
org.hostedgames.race,83
org.hostedgames.threegames,39
org.hostedgames.twinflames,36
org.hostedgames.vampirehouse,1211
org.lukeallen.bomber,4865
org.lukeallen.bomberfull,1603
photocollage.photoeditor.collagemaker,314
photocollage.photoeditor.photocollageeditor,2094
photoeditor.layout.collagemaker,1047
pl.idreams.CanKnockdown,5402
pl.idreams.CanKnockdown2,687
pl.idreams.CanKnockdown3,5913
pl.idreams.jellyband,1516
pl.idreams.jellydefense,1995
pl.idreams.pottery,6129
pl.idreams.potterylite,7464
printing.catalog,61
rocket.Music.Player.CloudExpansion,179
ru.prodigydev.climbcraft3d,1507
ru.prodigydev.craftahead3d,723
tema.koi.fish.live.water,1847
theme3d.lucky.clover.green.launcher,217
uk.co.aifactory.backgammon,852
uk.co.aifactory.backgammonfree,4366
uk.co.aifactory.chessfree,17921
uk.co.aifactory.euchrefree,4484
uk.co.aifactory.ginrummy,172
uk.co.aifactory.ginrummyfree,4672
uk.co.aifactory.gofree,5403
uk.co.aifactory.heartsfree,2300
uk.co.aifactory.rrfree,5958
uk.co.aifactory.spadesfree,2839
